date,song,artist,rank,weekly_videos,image_url
2022-08-21,Left And Right (Speed Up),jjqrks,3,316K,https://tokchart.com/img/7113182296387570434/600
2022-08-21,DESPECHÁ,ROSALÍA,4,248K,https://tokchart.com/img/7119554621501688582/600
2022-08-21,Funny Song,Funny Song Studio & Sounds Reel,5,215K,https://tokchart.com/img/6732536571318257666/600
2022-08-21,Carrying Your Love,David Morris,6,210K,https://tokchart.com/img/7099193160047265793/600
2022-08-21,original sound - samimalik5,💫Sami malik 🔥,7,201K,https://tokchart.com/img/6858897821102361346/600
2022-08-21,V16,martinwhite & Erreflexx,8,199K,https://tokchart.com/img/7123748042100116229/600
2022-08-21,Paro - Speed Up,Nej,9,194K,https://tokchart.com/img/7106914366477323014/600
2022-08-21,Na Rebolada,Os Quebradeiras & DJ Zullu & Machadez & Mousik & Thamirys,10,163K,https://tokchart.com/img/7120706545079487237/600
2022-08-28,Beach Waves Sounds,Ocean Sounds & Sea Waves Sounds & Ocean Waves,1,632K,https://tokchart.com/img/6979129052535883777/600
2022-08-28,Love You So,The King Khan & BBQ Show,2,359K,https://tokchart.com/img/6728562975734515713/600
2022-08-28,AMAZING,Phoebe,3,289K,https://tokchart.com/img/7067274755530951429/600
2022-08-28,V16,martinwhite & Erreflexx,4,236K,https://tokchart.com/img/7123748042100116229/600
2022-08-28,Funny Song,Funny Song Studio & Sounds Reel,5,202K,https://tokchart.com/img/6732536571318257666/600
2022-08-28,Pink Venom,BLACKPINK,6,199K,https://tokchart.com/img/7133363603926681601/600
2022-08-28,Aesthetic,Tollan Kim,7,164K,https://tokchart.com/img/7072513628145977346/600
2022-08-28,BILLIE EILISH.,Armani White,8,161K,https://tokchart.com/img/7096439256658233345/600
2022-08-28,DESPECHÁ,ROSALÍA,9,151K,https://tokchart.com/img/7119554621501688582/600
2022-08-28,LOKERA,Rauw Alejandro & Lyanno & Brray,10,147K,https://tokchart.com/img/7128072000685804294/600
2022-09-04,Beach Waves Sounds,Ocean Sounds & Sea Waves Sounds & Ocean Waves,1,6M,https://tokchart.com/img/6979129052535883777/600
2022-09-04,Ocean Waves Beach Coast Environmental Sounds of Seagulls 21,Rapid Fire,2,545K,https://tokchart.com/img/6817657428306298882/600
2022-09-04,AMAZING,Phoebe,3,449K,https://tokchart.com/img/7067274755530951429/600
2022-09-04,Pink Venom,BLACKPINK,4,335K,https://tokchart.com/img/7133363603926681601/600
2022-09-04,Aesthetic,Tollan Kim,5,271K,https://tokchart.com/img/7072513628145977346/600
2022-09-04,super freaky girl x luxurious,xxtristanxo,6,254K,https://tokchart.com/img/7134869378033552171/600
2022-09-04,STFU,Digga D,7,251K,https://tokchart.com/img/7116886860109973505/600
2022-09-04,Love You So,The King Khan & BBQ Show,8,237K,https://tokchart.com/img/6728562975734515713/600
2022-09-04,BILLIE EILISH.,Armani White,9,225K,https://tokchart.com/img/7096439256658233345/600
2022-09-04,Alaska,Camilo & Grupo Firme,10,205K,https://tokchart.com/img/7132966739801573378/600
2022-09-11,super freaky girl x luxurious,xxtristanxo,1,859K,https://tokchart.com/img/7134869378033552171/600
2022-09-11,Ocean Waves Beach Coast Environmental Sounds of Seagulls 21,Rapid Fire,2,813K,https://tokchart.com/img/6817657428306298882/600
